Date,FMCG Open,Corona Count,Stringency Index
30-May-20,28374.75,173763,79.17
31-May-20,28374.75,182143,79.17
01-Jun-20,29579.45,190535,75.46
02-Jun-20,29751.55,198706,75.46
03-Jun-20,29704.1,207615,75.46
04-Jun-20,29573.25,216919,75.46
05-Jun-20,29789.35,226770,75.46
06-Jun-20,29789.35,236657,75.46
07-Jun-20,29789.35,246628,75.46
08-Jun-20,29891.3,256611,75.46
09-Jun-20,29507.25,266598,76.85
10-Jun-20,29645.2,276583,76.85
11-Jun-20,29552.1,286579,76.85
12-Jun-20,28356.65,297535,76.85
13-Jun-20,28356.65,308993,76.85
14-Jun-20,28356.65,320922,76.85
15-Jun-20,29187.5,332424,76.85
16-Jun-20,29081.2,343091,76.85
17-Jun-20,28517.9,354065,76.85
18-Jun-20,28402.3,366946,76.39
19-Jun-20,28784.1,380532,76.39
20-Jun-20,28784.1,395048,76.39
21-Jun-20,28784.1,410461,76.39
22-Jun-20,28961.05,425282,76.39
23-Jun-20,28993.35,440215,76.39
24-Jun-20,29568.2,456183,76.39
25-Jun-20,29378.25,473105,76.39
